date,open,high,low,close,volume
2023-12-18,70.951,75.494,67.084,74.44,24082.78223888
2023-12-17,73.895,75.08,70.579,70.954,10087.3208867
2023-12-16,72.435,77.275,71.332,73.732,23024.08196865
2023-12-15,75.654,79.607,72.25,72.706,39951.99028846
2023-12-14,70.638,76.272,68.36,75.736,39932.71739016
2023-12-13,68.502,72.704,63.737,70.686,45309.2948703
2023-12-12,70.305,72.434,65.858,68.464,39815.13079802
2023-12-11,74.94,75.025,64.4,70.335,65758.50868663
2023-12-10,72.39,74.899,70.771,74.89,12928.09394133
2023-12-09,74.751,77.735,71.71,72.34,37409.30023562
2023-12-08,67.768,75.266,67.768,74.824,34941.55429921
2023-12-07,61.916,69.414,61.71,67.78,39115.99875545
2023-12-06,61.148,66.56,61.101,61.91,54771.39879084
2023-12-05,61.521,62.541,59.054,60.981,21070.60931279
2023-12-04,62.99,65.185,59.415,61.557,29236.47841653
2023-12-03,63.76,65.448,62.185,62.911,14730.0759925
2023-12-02,59.699,63.89,59.699,63.63,26574.23937703
2023-12-01,59.3,61.8,58.64,59.764,16111.77923185
2023-11-30,59.341,61.64,58.779,59.242,29736.13676501
2023-11-29,58.245,61.753,57.726,59.293,100389.34787836
2023-11-28,55.088,58.6,54.022,58.127,16659.88055908
2023-11-27,57.552,57.979,53.514,55.149,43000.81772442
2023-11-26,58.86,59.01,56.102,57.696,23386.56972448
2023-11-25,56.662,59.804,55.703,58.842,23831.58938743
2023-11-24,56.53,58.829,56.253,56.84,18623.32008329
2023-11-23,57.648,59.639,56.172,56.42,21350.589442380002
2023-11-22,51.641,58.875,51.396,57.544,30928.04976131
2023-11-21,56.469,57.374,51.306,51.689,86437.96286682
2023-11-20,61.121,61.286,56.001,56.583,38460.84965916
2023-11-19,58.34,62.081,56.766,61.124,25335.86945445
2023-11-18,58.582,59.38,54.803,58.602,38660.92374212
2023-11-17,57.812,60.572,54.149,58.573,90405.90286575
2023-11-16,65.641,68.13,56.479,57.654,84743.12074887
2023-11-15,56.83,67.092,56.174,65.518,101559.7870908
2023-11-14,51.627,57.932,51.294,56.862,83457.9264526
2023-11-13,56.186,59.808,51.599,51.665,95386.38361265999
2023-11-12,56.317,61.94,54.519,56.3,83292.68146018
2023-11-11,56.652,63.953,53.591,56.384,110892.42289016
2023-11-10,45.316,57.502,45.072,56.691,127115.31234079
2023-11-09,43.128,48.836,41.791,45.272,147332.24143192
2023-11-08,42.966,43.901,42.279,43.128,48662.3003353
2023-11-07,42.153,44.82,40.172,42.976,73950.69981603
2023-11-06,41.206,42.23,39.738,42.184,49058.83480756
2023-11-05,42.476,42.89,40.162,41.208,37930.11781667
2023-11-04,39.487,42.734,39.05,42.476,64369.69967669
2023-11-03,40.158,40.227,38.033,39.529,98784.1701184
2023-11-02,41.173,44.569,38.708,40.237,123093.88874154
2023-11-01,38.433,46.776,37.863,41.152,129561.83433069
2023-10-31,34.978,38.65,34.854,38.435,69473.35547827
2023-10-30,32.915,35.352,32.36,34.954,70755.53901558
2023-10-29,31.652,33.208,31.314,32.834,33225.27281585
2023-10-28,31.733,32.561,31.388,31.647,14384.52631972
2023-10-27,32.808,33.372,31.25,31.744,38271.48868432
2023-10-26,32.48,33.281,30.721,32.811,41512.73995181
2023-10-25,30.2,33.92,30.058,32.472,80121.47168176
2023-10-24,31.938,32.608,29.553,30.2,62176.65151486
2023-10-23,29.066,32.819,28.782,31.931,157797.5255201
2023-10-22,29.293,30.021,28.099,29.069,35599.00538805
2023-10-21,27.088,30.35,26.668,29.379,71442.02660708
2023-10-20,25.023,27.553,24.77,27.052,73080.92787903
2023-10-19,23.399,25.785,23.145,24.969,43359.59298977
2023-10-18,23.933,24.424,23.374,23.428,5384.51909712
2023-10-17,24.001,24.563,23.467,23.945,26751.66770292
2023-10-16,21.94,24.898,21.915,23.991,49938.46880246
2023-10-15,22.009,22.219,21.686,21.933,37844.98605838
2023-10-14,21.864,22.328,21.811,22.025,22045.70475851
2023-10-13,21.304,22.236,21.15,21.864,18781.1807434
2023-10-12,22.02,22.03,20.965,21.33,16825.38123852
2023-10-11,22.166,22.417,21.639,22.028,8709.33036575
2023-10-10,22.092,22.492,21.711,22.127,16193.44256448
2023-10-09,23.223,23.377,21.637,22.15,25961.12826754
2023-10-08,23.295,23.636,23.062,23.247,4852.61348789
2023-10-07,23.443,24.226,23.1,23.31,10775.89633961
2023-10-06,22.745,23.769,22.701,23.427,9608.49686044
2023-10-05,23.132,23.76,22.524,22.697,9854.63149165
2023-10-04,23.625,23.835,22.596,23.15,24989.56163269
2023-10-03,23.46,24.808,23.19,23.616,25009.95755787
2023-10-02,23.972,24.798,22.953,23.406,40514.93102693
2023-10-01,21.339,24.506,21.177,23.901,51127.29902001
2023-09-30,20.304,21.827,20.09,21.38,40283.29124139
2023-09-29,19.983,20.463,19.88,20.295,10042.63588728
2023-09-28,19.141,20.005,19.121,19.974,9530.74132732
2023-09-27,19.081,19.499,18.745,19.151,10070.65349535
2023-09-26,19.404,19.544,18.852,19.046,10721.22846175
2023-09-25,19.372,19.794,19.18,19.424,9454.41212412
2023-09-24,19.516,19.701,19.215,19.376,7764.94292374
2023-09-23,19.441,19.593,19.302,19.506,10011.39197087
2023-09-22,19.469,19.785,19.197,19.45,5995.41621375
2023-09-21,20.261,20.263,19.316,19.479,6215.84698877
2023-09-20,20.123,20.534,19.819,20.311,8595.85232206
2023-09-19,19.66,20.422,19.592,20.05,32843.38501545
2023-09-18,18.81,20.15,18.617,19.684,14996.77156864
2023-09-17,19.065,19.123,18.651,18.849,5260.66393474
2023-09-16,19.18,19.473,18.896,19.135,4831.30458492
2023-09-15,18.867,19.523,18.577,19.154,12988.63490422
2023-09-14,18.435,19.348,18.435,18.862,17110.27063805
2023-09-13,17.954,18.611,17.724,18.408,48843.74561167
2023-09-12,17.741,18.806,17.577,17.922,37984.069120449996
2023-09-11,18.29,18.474,17.366,17.75,30907.15623007
2023-09-10,19.404,19.425,17.802,18.231,30381.84451683
2023-09-09,19.596,19.617,19.391,19.44,3224.55602155
2023-09-08,19.893,20.288,19.396,19.607,10966.49961002
2023-09-07,19.641,20.012,19.351,19.934,10386.8944899
2023-09-06,20.27,20.38,19.168,19.644,44610.83984511
2023-09-05,19.5,20.605,19.04,20.262,23826.988068
2023-09-04,19.599,20.02,19.18,19.519,7483.85864038
2023-09-03,19.499,19.675,19.247,19.59,1968.55873963
2023-09-02,19.336,19.717,19.131,19.461,7527.96535548
2023-09-01,19.802,19.936,19.037,19.354,25155.86707614
2023-08-31,20.835,21.07,19.448,19.744,14108.18940286
2023-08-30,21.859,22.004,20.612,20.835,26196.99770271
2023-08-29,20.6,22.059,20.138,21.814,38556.7338575
2023-08-28,20.773,20.81,20.07,20.577,14786.24385634
2023-08-27,20.283,20.934,20.264,20.815,3157.7795283
2023-08-26,20.332,20.468,20.21,20.28,2484.04127467
2023-08-25,21.047,21.062,20.105,20.4,23861.92858976
2023-08-24,21.763,22.038,20.695,21.076,11928.40259613
2023-08-23,20.56,21.844,20.399,21.763,21596.65841825
