asset,statistic,n_actual,n_with_proxy,mean,median,min,max,q25,q75,is_sensitive,n_with_proxy_note,looco_C1_mean,looco_C1_delta,looco_C2_mean,looco_C2_delta,looco_C3_mean,looco_C3_delta,looco_C4_mean,looco_C4_delta
ndx,D_asset_halving_to_top,4,4,851.5,868.5,557.0,1112.0,719.0,1001.0,False,,814.0,-37.5,764.6666666666666,-86.83333333333337,949.6666666666666,98.16666666666663,877.6666666666666,26.16666666666663
ndx,D_asset_top_to_next_bottom,3,3,282.0,238.0,204.0,404.0,221.0,321.0,True,,321.0,39.0,304.0,22.0,221.0,-61.0,,
ndx,mult_asset_bottom_to_top,4,4,2.5017682856772026,2.5526571772303717,2.030738663598799,2.871020124649266,2.229657849503222,2.8247676134043522,False,,2.5703696326347045,0.06860134695750197,2.6587781597033366,0.1570098740261341,2.3992410110175872,-0.10252727465961531,2.3786843393531814,-0.1230839463240212
ndx,drawdown_asset_pct,3,3,0.21319632371724162,0.15639533033492858,0.12756224391264748,0.3556313969041488,0.14197878712378803,0.2560133636195387,True,,0.24159682040839814,0.028400496691156518,0.2560133636195387,0.04281703990229707,0.14197878712378803,-0.07121753659345359,,
dxy,D_asset_prev_bottom_to_halving,4,4,344.0,386.5,63.0,540.0,227.25,503.25,True,,295.0,-49.0,278.6666666666667,-65.33333333333331,437.6666666666667,93.66666666666669,364.6666666666667,20.666666666666686
dxy,D_asset_halving_to_top,4,4,534.0,551.5,164.0,869.0,242.0,843.5,True,,433.6666666666667,-100.33333333333331,657.3333333333334,123.33333333333337,422.3333333333333,-111.66666666666669,622.6666666666666,88.66666666666663
dxy,D_asset_top_to_next_bottom,4,4,376.5,397.5,289.0,422.0,356.5,417.5,False,,363.3333333333333,-13.166666666666686,361.3333333333333,-15.166666666666686,405.6666666666667,29.166666666666686,375.6666666666667,-0.8333333333333144
dxy,mult_asset_bottom_to_top,4,4,1.1966393107178717,1.1594154522941509,1.1021349382005257,1.3655914000826594,1.112839219822769,1.2432155431892538,False,,1.1403219475962758,-0.056317363121595854,1.223383309724879,0.026743999007007302,1.1947112173266783,-0.001928093391193375,1.2281407682236536,0.03150145750578193
dxy,drawdown_asset_pct,4,4,0.11742183217839836,0.12531137975402068,0.07674677999710122,0.14231778920845084,0.11290257789875335,0.12983063403366568,False,,0.1309801829054974,0.013558350727099044,0.10912317983504753,-0.008298652343350824,0.11467302657939649,-0.002748805599001869,0.114910939393652,-0.002510892784746352
tlt,D_asset_prev_bottom_to_halving,4,4,402.25,447.5,184.0,530.0,330.25,519.5,False,,364.3333333333333,-37.916666666666686,410.0,7.75,359.6666666666667,-42.583333333333314,475.0,72.75
tlt,D_asset_halving_to_top,4,4,590.25,511.5,193.0,1145.0,220.75,881.0,True,,522.6666666666666,-67.58333333333337,405.3333333333333,-184.91666666666669,722.6666666666666,132.41666666666663,710.3333333333334,120.08333333333337
tlt,D_asset_top_to_next_bottom,4,4,486.75,379.5,125.0,1063.0,141.5,724.75,True,,600.0,113.25,607.3333333333334,120.58333333333337,294.6666666666667,-192.08333333333331,445.0,-41.75
tlt,mult_asset_bottom_to_top,4,4,1.3277755393275763,1.3469179944951266,1.1403890687188452,1.4768770996012068,1.2470863243652097,1.4276072094574934,False,,1.2780750192363661,-0.049700520091210176,1.3428166936876582,0.01504115436008191,1.2999727481891277,-0.027802791138448635,1.3902376961971534,0.06246215686957712
tlt,drawdown_asset_pct,4,4,0.21704973382953455,0.1486595027371424,0.08335593416668896,0.4875239956771644,0.1188101821123671,0.24689905445430985,True,,0.23383606486825995,0.0167863310387254,0.26161433371714976,0.044564599887615214,0.12689164654699125,-0.09015808728254329,0.24585689018573723,0.02880715635620268
gold,D_asset_prev_bottom_to_halving,4,4,446.5,523.5,205.0,534.0,438.25,531.75,False,,423.3333333333333,-23.166666666666686,527.0,80.5,418.3333333333333,-28.166666666666686,417.3333333333333,-29.166666666666686
gold,D_asset_halving_to_top,4,4,790.25,868.5,272.0,1152.0,554.75,1104.0,True,,963.0,172.75,669.6666666666666,-120.58333333333337,691.0,-99.25,837.3333333333334,47.08333333333337
gold,D_asset_top_to_next_bottom,3,3,360.0,154.0,84.0,842.0,119.0,498.0,True,,119.0,-241.0,498.0,138.0,463.0,103.0,,
gold,mult_asset_bottom_to_top,4,4,1.8482120626806728,1.5831186157044463,0.9583754494975789,3.26823556981622,1.3461079303150938,2.0852227480700254,True,,2.1448242670750375,0.29661220439436464,1.9724987200450308,0.12428665736435796,1.9006543699671326,0.05244230728645971,1.3748708936354905,-0.4733411690451823
gold,drawdown_asset_pct,3,3,0.14526827844666082,0.11298829317092907,0.06250404525711617,0.26031249691193725,0.08774616921402262,0.18665039504143316,True,,0.08774616921402262,-0.0575221092326382,0.18665039504143316,0.04138211659477234,0.1614082710845267,0.01613999263786589,,
