cycle_id,asset,lag,cross_corr
C1,ndx,13,0.018388007539946995
C1,ndx,14,0.030764576894997255
C1,ndx,15,0.04286048366428538
C1,ndx,16,0.039423913371488525
C1,ndx,17,0.03643890441519354
C1,ndx,18,0.03248797994265454
C1,ndx,19,0.02538599942738478
C1,ndx,20,0.022434409191706212
C1,ndx,21,0.009377614463151409
C1,ndx,22,0.002297952845277171
C1,ndx,23,0.0019734376506582263
C1,ndx,24,-0.004218362180866039
C1,ndx,25,-0.017610329035163668
C1,ndx,26,-0.01933186577833428
C1,ndx,27,-0.022921381115325157
C1,ndx,28,-0.014830910406797524
C1,ndx,29,-0.006986005380344283
C1,ndx,30,-0.003961596006104419
C1,ndx,31,0.012598497037375707
C1,ndx,32,0.03345574800630221
C1,ndx,33,0.04619043289696903
C1,ndx,34,0.058388257640800065
C1,ndx,35,0.05744099977547337
C1,ndx,36,0.059680548159004226
C1,ndx,37,0.06499254493227653
C1,ndx,38,0.056968773760508275
C1,ndx,39,0.04517190303731539
C1,ndx,40,0.037135656858334316
C1,ndx,41,0.025697984958979354
C1,ndx,42,0.02625999021313082
C1,ndx,43,0.024293659759922374
C1,ndx,44,0.020888121068683745
C1,ndx,45,0.016211025856224266
C1,ndx,46,0.017570432096747014
C1,ndx,47,0.023002205993416288
C1,ndx,48,0.03591668510220632
C1,ndx,49,0.04841320656176794
C1,ndx,50,0.05079265601742747
C1,ndx,51,0.054331001002666815
C1,ndx,52,0.061474607383110516
C1,ndx,53,0.06604380012662722
C1,ndx,54,0.06706152741474682
C1,ndx,55,0.05572316680051359
C1,ndx,56,0.04078268923938151
C1,ndx,57,0.025952664668188782
C1,ndx,58,0.008068459090660451
C1,ndx,59,-0.008929998022679563
C1,ndx,60,-0.02378449219196779
C1,dxy,-60,-0.0052313931981134015
C1,dxy,-59,-0.0014489202974670417
C1,dxy,-58,-0.0009950837438441062
C1,dxy,-57,-0.00035653620333051726
C1,dxy,-56,0.0007041087027525646
C1,dxy,-55,0.0008232711223825168
C1,dxy,-54,-0.0043822533512785766
C1,dxy,-53,-0.005654930548092099
C1,dxy,-52,-0.006327763809455741
C1,dxy,-51,-0.01328708262472721
C1,dxy,-50,-0.021880964909792397
C1,dxy,-49,-0.026885247481429717
C1,dxy,-48,-0.03879450396590235
C1,dxy,-47,-0.04649369842203151
C1,dxy,-46,-0.051325949163495414
C1,dxy,-45,-0.056443521172607126
C1,dxy,-44,-0.057057834856532444
C1,dxy,-43,-0.04667539847898207
C1,dxy,-42,-0.044456280342636115
C1,dxy,-41,-0.03039770821923689
C1,dxy,-40,-0.01911378854264064
C1,dxy,-39,-0.015290561081863866
C1,dxy,-38,-0.009308291769839746
C1,dxy,-37,-0.004419878445772487
C1,dxy,-36,-0.010239270341272935
C1,dxy,-35,-0.009788482269910607
C1,dxy,-34,-0.022805744731894406
C1,dxy,-33,-0.0274710187775017
C1,dxy,-32,-0.028773765032996123
C1,dxy,-31,-0.03434678509486288
C1,dxy,-30,-0.026924850277388442
C1,dxy,-29,-0.018735175073516398
C1,dxy,-28,-0.00326326588220652
C1,dxy,-27,0.024280102916771622
C1,dxy,-26,0.04481022256775767
C1,dxy,-25,0.06975886407487467
C1,dxy,-24,0.09063509119747248
C1,dxy,-23,0.08791551145469317
C1,dxy,-22,0.08127171495989303
C1,dxy,-21,0.06994807339945537
C1,dxy,-20,0.03906410941451018
C1,dxy,-19,0.014570747944011133
C1,dxy,-18,-0.0175416348223316
C1,dxy,-17,-0.03847143814101154
C1,dxy,-16,-0.037131518523064934
C1,dxy,-15,-0.028555085707295046
C1,dxy,-14,-0.02795934861429526
C1,dxy,-13,-0.007307723654599726
C1,dxy,-12,0.012089838445143747
C1,dxy,-11,0.030923085172633556
C1,dxy,-10,0.03430669358858096
C1,dxy,-9,0.027839709643256272
C1,dxy,-8,0.0235304458581304
C1,dxy,-7,0.021505773422042858
C1,dxy,-6,0.010579916557030986
C1,dxy,-5,-0.005177979767252914
C1,dxy,-4,-0.008398480046035604
C1,dxy,-3,0.0028388633756653747
C1,dxy,-2,0.012290446180598305
C1,dxy,-1,0.018460736153675196
C1,dxy,0,0.022937234413177948
C1,dxy,1,0.025809878452434338
C1,dxy,2,0.028906538368565434
C1,dxy,3,0.023029812824522565
C1,dxy,4,0.011759004426605662
C1,dxy,5,-0.0055245627161676
C1,dxy,6,-0.024154025423960473
C1,dxy,7,-0.037821507982815854
C1,dxy,8,-0.04584775730646186
C1,dxy,9,-0.05314506214767437
C1,dxy,10,-0.05165462274097071
C1,dxy,11,-0.05458630394071983
C1,dxy,12,-0.04539140426437237
C1,dxy,13,-0.03470273491177543
C1,dxy,14,-0.026021321757596964
C1,dxy,15,-0.019598807373559384
C1,dxy,16,-0.006924989243078008
C1,dxy,17,-0.007600245803016263
C1,dxy,18,0.0013502894860880194
C1,dxy,19,0.006932120852910656
C1,dxy,20,0.005002002186920439
C1,dxy,21,0.006538125847349062
C1,dxy,22,0.007846557231482677
C1,dxy,23,0.0018158140117268745
C1,dxy,24,0.001438161715631843
C1,dxy,25,-0.0038405292663030626
C1,dxy,26,-0.01226888953208702
C1,dxy,27,-0.013359479018947257
C1,dxy,28,-0.02411806936638773
C1,dxy,29,-0.03400912987682454
C1,dxy,30,-0.04276955814225073
C1,dxy,31,-0.0522522739447911
C1,dxy,32,-0.06483379825473476
C1,dxy,33,-0.06747205464377014
C1,dxy,34,-0.06630477757337207
C1,dxy,35,-0.05115203673219113
C1,dxy,36,-0.0376246566224628
C1,dxy,37,-0.02149028981135409
C1,dxy,38,-0.006457317481538799
C1,dxy,39,0.013012310688175236
C1,dxy,40,0.029909879026042727
C1,dxy,41,0.0344305038714911
C1,dxy,42,0.02539829890341226
C1,dxy,43,0.016281374000485387
C1,dxy,44,0.010108831815042671
C1,dxy,45,0.006901002654756607
C1,dxy,46,-0.0010035579963483044
C1,dxy,47,-0.022392243623575815
C1,dxy,48,-0.03268453364262631
C1,dxy,49,-0.038523094174348155
C1,dxy,50,-0.045512370461768044
C1,dxy,51,-0.055376823510121735
C1,dxy,52,-0.06789196493794687
C1,dxy,53,-0.07263692059293857
C1,dxy,54,-0.07154525270294719
C1,dxy,55,-0.06936680900171158
