asset,date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
sol,2022-06-20,39.40808868408203,116.41,,True,False,False,False,False,False
sol,2022-06-27,33.38593292236328,116.54,,True,False,False,False,False,False
sol,2022-07-04,36.69760894775391,116.71,,True,False,False,False,False,False
sol,2022-07-11,38.64472198486328,116.8,,True,False,False,False,False,False
sol,2022-07-18,41.00658416748047,116.86,,True,False,False,False,False,False
sol,2022-07-25,42.400203704833984,116.64,,True,False,False,False,False,False
sol,2022-08-01,40.6055908203125,115.99,,True,False,False,False,False,False
sol,2022-08-08,44.91656875610352,115.0,,True,False,False,False,False,False
sol,2022-08-15,36.533199310302734,112.89,,True,False,False,False,False,False
sol,2022-08-22,30.39228630065918,110.01,,True,False,False,False,False,False
sol,2022-08-29,32.106956481933594,107.6,,True,False,False,False,False,False
sol,2022-09-05,34.96596145629883,105.58,,True,False,False,False,False,False
sol,2022-09-12,31.05985450744629,102.75,,True,False,False,False,False,False
sol,2022-09-19,32.33536148071289,100.44,,True,False,False,False,False,False
sol,2022-09-26,32.05569839477539,97.89,,True,False,False,False,False,False
sol,2022-10-03,32.91388320922852,94.5,,True,False,False,False,False,False
sol,2022-10-10,30.168840408325195,91.05,,True,False,False,False,False,False
sol,2022-10-17,29.27007102966309,86.64,,True,False,False,False,False,False
sol,2022-10-24,32.9659309387207,82.53,,True,False,False,False,False,False
sol,2022-10-31,32.6835823059082,78.56,,True,False,False,False,False,False
sol,2022-11-07,13.164528846740724,74.81,,True,False,False,False,False,False
sol,2022-11-14,12.252833366394045,71.13,,True,False,False,False,False,False
sol,2022-11-21,14.115766525268556,67.94,,True,False,False,False,False,False
sol,2022-11-28,13.718218803405762,64.62,,True,False,False,False,False,False
sol,2022-12-05,13.427809715270996,60.93,,True,False,False,False,False,False
sol,2022-12-12,12.41312026977539,57.65,,True,False,False,False,False,False
sol,2022-12-19,11.387903213500977,55.06,,True,False,False,False,False,False
sol,2022-12-26,9.982172966003418,52.3,,True,False,False,False,False,False
sol,2023-01-02,14.31993293762207,50.59,,True,False,False,False,False,False
sol,2023-01-09,22.873306274414062,49.19,,True,False,False,False,False,False
sol,2023-01-16,24.232789993286133,47.36,,True,False,False,False,False,False
sol,2023-01-23,26.132387161254883,46.02,,True,False,False,False,False,False
sol,2023-01-30,23.493438720703125,44.67,,True,False,False,False,False,False
sol,2023-02-06,21.489978790283203,43.39,,True,False,False,False,False,False
sol,2023-02-13,24.84075164794922,42.2,,True,False,False,False,False,False
sol,2023-02-20,23.256088256835938,41.09,,True,False,False,False,False,False
sol,2023-02-27,20.97858428955078,39.73,,True,False,False,False,False,False
sol,2023-03-06,20.310531616210938,38.0,,True,False,False,False,False,False
sol,2023-03-13,21.90340232849121,35.7,,True,False,False,False,False,False
sol,2023-03-20,20.97551918029785,33.89,,True,False,False,False,False,False
sol,2023-03-27,20.536975860595703,32.29,,True,False,False,False,False,False
sol,2023-04-03,20.29946517944336,30.71,,True,False,False,False,False,False
sol,2023-04-10,25.361927032470703,29.42,,True,False,False,False,False,False
sol,2023-04-17,21.480138778686523,28.35,,True,False,False,False,False,False
sol,2023-04-24,22.832014083862305,27.63,,True,False,False,False,False,False
sol,2023-05-01,21.84422874450684,27.01,,True,False,False,False,False,False
sol,2023-05-08,20.95339775085449,26.53,,True,False,False,False,False,False
sol,2023-05-15,19.609437942504883,26.15,,True,False,False,False,False,False
sol,2023-05-22,20.7985782623291,25.95,,True,False,False,False,False,False
sol,2023-05-29,21.8189754486084,25.71,,True,False,False,False,False,False
sol,2023-06-05,15.558775901794434,25.23,,True,False,False,False,False,False
sol,2023-06-12,15.43823528289795,24.87,,True,False,False,False,False,False
sol,2023-06-19,16.97138023376465,24.48,,True,False,False,False,False,False
sol,2023-06-26,19.453594207763672,24.09,,True,False,False,False,False,False
sol,2023-07-03,21.3490047454834,23.7,,True,False,False,False,False,False
sol,2023-07-10,27.384082794189453,23.4,,False,False,False,False,True,False
sol,2023-07-17,24.766815185546875,23.08,,False,False,False,False,False,False
sol,2023-07-24,24.26101875305176,22.67,,False,False,False,False,False,False
sol,2023-07-31,23.18569564819336,22.4,,False,False,False,False,False,False
sol,2023-08-07,24.24288558959961,22.28,,False,False,False,False,False,False
sol,2023-08-14,21.77327537536621,22.07,,True,False,True,False,False,False
sol,2023-08-21,20.78683853149414,21.79,,True,False,False,False,False,False
sol,2023-08-28,19.578746795654297,21.56,,True,False,False,False,False,False
sol,2023-09-04,18.24883079528809,21.28,,True,False,False,False,False,False
sol,2023-09-11,18.83162879943848,21.01,,True,False,False,False,False,False
sol,2023-09-18,19.374290466308597,20.74,,True,False,False,False,False,False
sol,2023-09-25,23.83648681640625,20.62,,False,False,False,False,True,False
sol,2023-10-02,23.24642562866211,20.49,,False,False,False,False,False,False
sol,2023-10-09,21.922027587890625,20.27,,False,False,False,False,False,False
sol,2023-10-16,29.03668212890625,20.2,,False,False,False,False,False,False
sol,2023-10-23,32.822608947753906,20.59,,False,False,False,False,False,False
sol,2023-10-30,41.23860168457031,21.17,,False,False,False,False,False,False
sol,2023-11-06,56.15409851074219,22.01,,False,False,False,False,False,False
sol,2023-11-13,61.39355850219727,22.97,,False,False,False,False,False,False
sol,2023-11-20,57.6427001953125,23.85,,False,False,False,False,False,False
sol,2023-11-27,63.03996658325195,24.87,,False,False,False,False,False,False
sol,2023-12-04,74.70588684082031,26.13,,False,False,False,False,False,False
sol,2023-12-11,71.00051879882812,27.35,,False,False,False,False,False,False
sol,2023-12-18,112.48521423339844,29.32,,False,False,False,False,False,False
sol,2023-12-25,101.50582122802734,30.89,,False,False,False,False,False,False
sol,2024-01-01,89.2763442993164,32.19,,False,False,False,False,False,False
sol,2024-01-08,94.13314056396484,33.55,,False,False,False,False,False,False
sol,2024-01-15,90.8484344482422,34.9,,False,False,False,False,False,False
sol,2024-01-22,95.93798065185548,36.38,,False,False,False,False,False,False
sol,2024-01-29,95.47695922851562,37.8,46.77,False,False,False,False,False,False
sol,2024-02-05,107.49528503417967,39.48,47.3,False,False,False,False,False,False
sol,2024-02-12,112.17467498779295,41.31,47.86,False,False,False,False,False,False
sol,2024-02-19,103.4534912109375,42.97,48.37,False,False,False,False,False,False
sol,2024-02-26,130.45086669921875,45.14,49.02,False,False,False,False,False,False
sol,2024-03-04,144.5151824951172,47.61,49.74,False,False,False,False,False,False
sol,2024-03-11,202.12356567382807,51.24,50.75,False,False,False,False,False,False
sol,2024-03-18,183.57345581054688,54.51,51.67,False,False,False,False,False,False
sol,2024-03-25,202.87413024902344,58.06,52.68,False,False,False,False,False,False
sol,2024-04-01,179.6498565673828,61.22,53.57,False,False,False,False,False,False
sol,2024-04-08,151.28494262695312,63.79,54.33,False,False,False,False,False,False
sol,2024-04-15,148.60931396484375,66.33,55.07,False,False,False,False,False,False
sol,2024-04-22,137.85641479492188,68.66,55.75,False,False,False,False,False,False
sol,2024-04-29,145.71302795410156,71.19,56.48,False,False,False,False,False,False
sol,2024-05-06,143.52081298828125,73.64,57.19,False,False,False,False,False,False
sol,2024-05-13,170.0913543701172,76.61,58.03,False,False,False,False,False,False
sol,2024-05-20,163.3509063720703,79.56,58.84,False,False,False,False,False,False
sol,2024-05-27,163.24990844726562,82.52,59.65,False,False,False,False,False,False
sol,2024-06-03,162.08360290527344,85.42,60.45,False,False,False,False,False,False
sol,2024-06-10,151.12550354003906,88.05,61.19,False,False,False,False,False,False
sol,2024-06-17,128.59042358398438,90.2,61.81,False,False,False,False,False,False
sol,2024-06-24,146.49249267578125,92.58,62.52,False,False,False,False,False,False
sol,2024-07-01,131.7740936279297,94.72,63.17,False,False,False,False,False,False
sol,2024-07-08,147.622314453125,97.19,63.89,False,False,False,False,False,False
sol,2024-07-15,184.54161071777344,100.42,64.8,False,False,False,False,False,False
sol,2024-07-22,184.88607788085935,103.63,65.71,False,False,False,False,False,False
sol,2024-07-29,138.05508422851562,105.95,66.38,False,False,False,False,False,False
sol,2024-08-05,141.52685546875,108.37,67.08,False,False,False,False,False,False
sol,2024-08-12,142.58688354492188,110.83,67.78,False,False,False,False,False,False
sol,2024-08-19,158.90911865234375,113.64,68.57,False,False,False,False,False,False
sol,2024-08-26,128.6905517578125,115.84,69.2,False,False,False,False,False,False
sol,2024-09-02,129.98951721191406,118.05,69.84,False,False,False,False,False,False
sol,2024-09-09,131.4993896484375,120.2,70.49,False,False,False,False,False,False
sol,2024-09-16,144.80364990234375,122.64,71.2,False,False,False,False,False,False
sol,2024-09-23,158.62916564941406,125.37,71.99,False,False,False,False,False,False
sol,2024-09-30,146.44236755371094,127.72,72.71,False,False,False,False,False,False
sol,2024-10-07,147.5724334716797,130.01,73.44,False,False,False,False,False,False
sol,2024-10-14,166.9398193359375,132.53,74.27,False,False,False,False,False,False
sol,2024-10-21,176.5491943359375,134.93,75.14,False,False,False,False,False,False
sol,2024-10-28,162.55130004882812,136.96,75.94,False,False,False,False,False,False
sol,2024-11-04,210.6137237548828,140.02,76.98,False,False,False,False,False,False
sol,2024-11-11,237.57553100585935,143.51,78.15,False,False,False,False,False,False
sol,2024-11-18,252.9195251464844,147.07,79.39,False,False,False,False,False,False
sol,2024-11-25,237.06993103027344,150.39,80.56,False,False,False,False,False,False
sol,2024-12-02,236.67233276367188,152.88,81.71,False,False,False,False,False,False
sol,2024-12-09,223.6576690673828,155.32,82.78,False,False,False,False,False,False
sol,2024-12-16,180.16891479492188,157.14,83.63,False,False,False,False,False,False
sol,2024-12-23,189.7442626953125,159.05,84.51,False,False,False,False,False,False
sol,2024-12-30,213.3936309814453,161.5,85.51,False,False,False,False,False,False
sol,2025-01-06,188.5603790283203,163.35,86.38,False,False,False,False,False,False
sol,2025-01-13,250.58636474609372,166.46,87.56,False,False,False,False,False,False
sol,2025-01-20,240.88345336914065,169.12,88.67,False,False,False,False,False,False
sol,2025-01-27,203.11962890625,170.94,89.57,False,False,False,False,False,False
sol,2025-02-03,200.49755859375,172.88,90.43,False,False,False,False,False,False
sol,2025-02-10,188.4864044189453,174.04,91.21,False,False,False,False,False,False
sol,2025-02-17,168.03811645507812,174.51,91.82,True,False,False,False,False,False
sol,2025-02-24,178.49549865722656,174.04,92.48,False,False,False,False,False,False
sol,2025-03-03,126.43543243408205,172.9,92.89,True,False,True,False,False,False
sol,2025-03-10,125.98810577392578,171.36,93.28,True,False,False,False,False,False
sol,2025-03-17,132.5993194580078,170.42,93.82,True,False,False,False,False,False
sol,2025-03-24,124.64263153076172,169.89,94.3,True,False,False,False,False,False
sol,2025-03-31,105.7120132446289,169.03,94.62,True,False,False,False,False,False
sol,2025-04-07,128.58079528808594,168.84,95.07,True,False,False,False,False,False
sol,2025-04-14,137.77459716796875,168.69,95.58,True,False,False,False,False,False
sol,2025-04-21,148.24583435058594,168.78,96.16,True,False,False,False,False,False
sol,2025-04-28,143.98306274414062,168.26,96.71,True,False,False,False,False,False
sol,2025-05-05,173.02645874023438,168.45,97.41,False,False,False,False,True,False
sol,2025-05-12,173.89871215820312,168.66,98.15,False,False,False,False,False,False
sol,2025-05-19,175.72547912597656,168.94,98.89,False,False,False,False,False,False
sol,2025-05-26,157.7845458984375,169.07,99.5,True,False,True,False,False,False
sol,2025-06-02,152.4300994873047,169.55,100.08,True,False,False,False,False,False
sol,2025-06-09,152.81439208984375,169.67,100.57,True,False,False,False,False,False
sol,2025-06-16,131.61569213867188,169.67,100.87,True,False,False,False,False,False
sol,2025-06-23,153.35308837890625,169.79,101.16,True,False,False,False,False,False
sol,2025-06-30,151.87294006347656,169.13,101.21,True,False,False,False,False,False
sol,2025-07-07,161.1940155029297,168.66,101.14,True,False,False,False,False,False
sol,2025-07-14,181.5460357666016,169.53,101.29,False,False,False,False,True,False
sol,2025-07-21,188.7334899902344,170.47,101.55,False,False,False,False,False,False
sol,2025-07-28,161.95497131347656,170.86,101.5,True,False,False,False,False,False
sol,2025-08-04,182.90301513671875,171.34,101.67,False,False,False,False,True,False
sol,2025-08-11,191.16482543945312,172.59,101.83,False,False,False,False,False,False
sol,2025-08-18,205.8523712158203,174.11,101.85,False,False,False,False,False,False
