date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
2017-09-11,3662.99,1732.38,766.9,False,False,False,False,False,False
2017-09-18,3664.22,1793.41,781.23,False,False,False,False,False,False
2017-09-25,4377.22,1868.17,798.34,False,False,False,False,False,False
2017-10-02,4597.98,1947.16,817.39,False,False,False,False,False,False
2017-10-09,5679.7,2046.8,841.48,False,False,False,False,False,False
2017-10-16,5969.0,2151.99,868.26,False,False,False,False,False,False
2017-10-23,6137.37,2260.73,895.31,False,False,False,False,False,False
2017-10-30,7372.72,2393.64,927.65,False,False,False,False,False,False
2017-11-06,5870.37,2496.5,952.78,False,False,False,False,False,False
2017-11-13,8016.58,2641.59,988.65,False,False,False,False,False,False
2017-11-20,9271.06,2811.63,1030.93,False,False,False,False,False,False
2017-11-27,11250.0,3020.86,1083.11,False,False,False,False,False,False
2017-12-04,14691.0,3296.87,1153.13,False,False,False,False,False,False
2017-12-11,18953.0,3655.97,1244.79,False,False,False,False,False,False
2017-12-18,14157.87,3920.93,1312.52,False,False,False,False,False,False
2017-12-25,13880.0,4182.1,1379.09,False,False,False,False,False,False
2018-01-01,16124.02,4486.1,1456.51,False,False,False,False,False,False
2018-01-08,13647.99,4740.82,1521.58,False,False,False,False,False,False
2018-01-15,11558.87,4951.78,1576.57,False,False,False,False,False,False
2018-01-22,11685.58,5165.47,1632.7,False,False,False,False,False,False
2018-01-29,8191.0,5308.26,1671.37,False,False,False,False,False,False
2018-02-05,8067.0,5446.02,1709.62,False,False,False,False,False,False
2018-02-12,10421.06,5628.98,1759.23,False,False,False,False,False,False
2018-02-19,9590.04,5796.25,1805.03,False,False,False,False,False,False
2018-02-26,11463.27,6005.15,1860.15,False,False,False,False,False,False
2018-03-05,9535.04,6176.65,1905.63,False,False,False,False,False,False
2018-03-12,8188.24,6318.86,1944.34,False,False,False,False,False,False
2018-03-19,8453.9,6463.81,1983.74,False,False,False,False,False,False
2018-03-26,6813.52,6576.84,2014.65,False,False,False,False,False,False
2018-04-02,7027.26,6692.54,2046.5,False,False,False,False,False,False
2018-04-09,8354.22,6832.62,2085.32,False,False,False,False,False,False
2018-04-16,8789.96,6977.34,2126.27,False,False,False,False,False,False
2018-04-23,9393.99,7129.54,2170.24,False,False,False,False,False,False
2018-04-30,9623.54,7281.66,2215.21,False,False,False,False,False,False
